Date, Time,Pressure,Temp A,Temp B,Temp C,Conductivity
04/10/2025,14:56:05,0.00,nan,nan,nan,
04/10/2025,14:56:06,0.00,nan,nan,nan,0.00
04/10/2025,14:56:07,0.00,nan,nan,nan,0.00
04/10/2025,14:56:08,0.00,nan,nan,nan,0.00
04/10/2025,14:56:09,0.00,nan,nan,nan,0.00
