Date, Time,Pressure,Temp A,Temp B,Temp C,Conductivity
04/08/2025,19:19:24,0.00,nan,nan,nan,
04/08/2025,19:19:25,0.00,nan,nan,nan,0.00
04/08/2025,19:19:26,0.00,nan,nan,nan,0.15
04/08/2025,19:19:27,0.00,nan,nan,nan,0.15
04/08/2025,19:19:28,0.00,nan,nan,nan,0.00
04/08/2025,19:19:29,0.00,nan,nan,nan,0.00
04/08/2025,19:19:30,0.00,nan,nan,nan,0.00
04/08/2025,19:19:31,0.00,nan,nan,nan,0.00
04/08/2025,19:19:32,0.00,nan,nan,nan,0.00
04/08/2025,19:19:33,0.00,nan,nan,nan,0.15
04/08/2025,19:19:34,0.00,nan,nan,nan,0.00
04/08/2025,19:19:35,0.00,nan,nan,nan,0.00
04/08/2025,19:19:36,0.00,nan,nan,nan,0.00
04/08/2025,19:19:37,0.00,nan,nan,nan,0.00
04/08/2025,19:19:38,0.00,nan,nan,nan,0.00
04/08/2025,19:19:39,0.00,nan,nan,nan,0.00
04/08/2025,19:19:40,0.00,nan,nan,nan,0.00
04/08/2025,19:19:41,0.00,nan,nan,nan,0.00
04/08/2025,19:19:42,0.00,nan,nan,nan,0.00
04/08/2025,19:19:43,0.00,nan,nan,nan,0.00
04/08/2025,19:19:44,0.00,nan,nan,nan,0.00
04/08/2025,19:19:45,0.00,nan,nan,nan,0.00
