Date, Time,Pressure,Temp A,Temp B,Temp C,Conductivity
03/12/2025,19:52:02,0.00,nan,nan,nan,
03/12/2025,19:52:03,0.00,nan,nan,nan,0.00
03/12/2025,19:52:04,0.00,nan,nan,nan,0.00
03/12/2025,19:52:05,0.00,nan,nan,nan,0.00
03/12/2025,19:52:06,0.00,nan,nan,nan,0.00
03/12/2025,19:52:07,0.00,nan,nan,nan,0.00
03/12/2025,19:52:08,0.00,nan,nan,nan,0.00
03/12/2025,19:52:09,0.00,nan,nan,nan,0.00
03/12/2025,19:52:10,0.00,nan,nan,nan,0.00
03/12/2025,19:52:11,0.00,nan,nan,nan,0.00
03/12/2025,19:52:12,0.00,nan,nan,nan,0.00
03/12/2025,19:52:13,0.00,nan,nan,nan,0.00
03/12/2025,19:52:14,0.00,nan,nan,nan,0.00
