Date, Time,Pressure,Temp A,Temp B,Temp C,Conductivity
03/01/2025,13:03:21,0.00,nan,nan,nan,
03/01/2025,13:03:22,0.00,nan,nan,nan,0.00
03/01/2025,13:03:23,0.00,nan,nan,nan,0.00
03/01/2025,13:03:24,0.00,nan,nan,nan,0.00
03/01/2025,13:03:25,0.00,nan,nan,nan,0.00
03/01/2025,13:03:26,0.00,nan,nan,nan,0.00
03/01/2025,13:03:27,0.00,nan,nan,nan,0.00
03/01/2025,13:03:28,0.00,nan,nan,nan,0.00
03/01/2025,13:03:29,0.00,nan,nan,nan,0.00
03/01/2025,13:03:30,0.00,nan,nan,nan,0.00
03/01/2025,13:03:31,0.00,nan,nan,nan,0.00
03/01/2025,13:03:32,0.00,nan,nan,nan,0.00
03/01/2025,13:03:33,0.00,nan,nan,nan,0.00
03/01/2025,13:03:34,0.00,nan,nan,nan,0.00
03/01/2025,13:03:35,0.00,nan,nan,nan,0.00
03/01/2025,13:03:36,0.00,nan,nan,nan,0.00
03/01/2025,13:03:37,0.00,nan,nan,nan,0.00
03/01/2025,13:03:38,0.00,nan,nan,nan,0.00
03/01/2025,13:03:39,0.00,nan,nan,nan,0.00
03/01/2025,13:03:40,0.00,nan,nan,nan,0.00
03/01/2025,13:03:41,0.00,nan,nan,nan,0.00
03/01/2025,13:03:42,0.00,nan,nan,nan,0.00
03/01/2025,13:03:43,0.00,nan,nan,nan,0.00
03/01/2025,13:03:44,0.00,nan,nan,nan,0.00
03/01/2025,13:03:45,0.00,nan,nan,nan,0.00
03/01/2025,13:03:46,0.00,nan,nan,nan,0.00
03/01/2025,13:03:47,0.00,nan,nan,nan,0.00
03/01/2025,13:03:48,0.00,nan,nan,nan,0.00
03/01/2025,13:03:49,0.00,nan,nan,nan,0.00
03/01/2025,13:03:50,0.00,nan,nan,nan,0.00
03/01/2025,13:03:51,0.00,nan,nan,nan,0.00
03/01/2025,13:03:52,0.00,nan,nan,nan,0.00
03/01/2025,13:03:53,0.00,nan,nan,nan,0.00
03/01/2025,13:03:54,0.00,nan,nan,nan,0.00
03/01/2025,13:03:55,0.00,nan,nan,nan,0.00
03/01/2025,13:03:56,0.00,nan,nan,nan,0.00
03/01/2025,13:03:57,0.00,nan,nan,nan,0.00
03/01/2025,13:03:58,0.00,nan,nan,nan,0.00
03/01/2025,13:03:59,0.00,nan,nan,nan,0.00
03/01/2025,13:04:00,0.00,nan,nan,nan,0.00
03/01/2025,13:04:01,0.00,nan,nan,nan,0.00
03/01/2025,13:04:02,0.00,nan,nan,nan,0.00
03/01/2025,13:04:03,0.00,nan,nan,nan,0.00
03/01/2025,13:04:04,0.00,nan,nan,nan,0.00
03/01/2025,13:04:05,0.00,nan,nan,nan,0.00
03/01/2025,13:04:06,0.00,nan,nan,nan,0.00
03/01/2025,13:04:07,0.00,nan,nan,nan,0.00
03/01/2025,13:04:08,0.00,nan,nan,nan,0.00
03/01/2025,13:04:09,0.00,nan,nan,nan,0.00
03/01/2025,13:04:10,0.00,nan,nan,nan,0.00
03/01/2025,13:04:11,0.00,nan,nan,nan,0.00
03/01/2025,13:04:12,0.00,nan,nan,nan,0.00
03/01/2025,13:04:13,0.00,nan,nan,nan,0.00
03/01/2025,13:04:14,0.00,nan,nan,nan,0.00
03/01/2025,13:04:15,0.00,nan,nan,nan,0.00
03/01/2025,13:04:16,0.00,nan,nan,nan,0.00
03/01/2025,13:04:17,0.00,nan,nan,nan,0.00
03/01/2025,13:04:18,0.00,nan,nan,nan,0.00
03/01/2025,13:04:19,0.00,nan,nan,nan,0.00
03/01/2025,13:04:20,0.00,nan,nan,nan,0.00
03/01/2025,13:04:21,0.00,nan,nan,nan,0.00
03/01/2025,13:04:22,0.00,nan,nan,nan,0.00
03/01/2025,13:04:23,0.00,nan,nan,nan,0.00
03/01/2025,13:04:24,0.00,nan,nan,nan,0.00
03/01/2025,13:04:25,0.00,nan,nan,nan,0.00
03/01/2025,13:04:26,0.00,nan,nan,nan,0.00
03/01/2025,13:04:27,0.00,nan,nan,nan,0.00
03/01/2025,13:04:28,0.00,nan,nan,nan,0.00
03/01/2025,13:04:29,0.00,nan,nan,nan,0.00
03/01/2025,13:04:30,0.00,nan,nan,nan,0.00
03/01/2025,13:04:31,0.00,nan,nan,nan,0.00
03/01/2025,13:04:32,0.00,nan,nan,nan,0.00
03/01/2025,13:04:33,0.00,nan,nan,nan,0.00
03/01/2025,13:04:34,0.00,nan,nan,nan,0.00
03/01/2025,13:04:35,0.00,nan,nan,nan,0.00
03/01/2025,13:04:35,0.00,nan,nan,nan,0.00
03/01/2025,13:04:36,0.00,nan,nan,nan,0.00
03/01/2025,13:04:37,0.00,nan,nan,nan,0.00
03/01/2025,13:04:38,0.00,nan,nan,nan,0.00
03/01/2025,13:04:39,0.00,nan,nan,nan,0.00
03/01/2025,13:04:40,0.00,nan,nan,nan,0.00
03/01/2025,13:04:41,0.00,nan,nan,nan,0.00
03/01/2025,13:04:42,0.00,nan,nan,nan,0.00
03/01/2025,13:04:43,0.00,nan,nan,nan,0.00
03/01/2025,13:04:44,0.00,nan,nan,nan,0.00
