Date, Time,Pressure,Temp A,Temp B,Temp C,Conductivity
04/03/2025,17:41:11,0.00,nan,nan,nan,
04/03/2025,17:41:11,0.00,nan,nan,nan,
04/03/2025,17:41:12,0.00,nan,nan,nan,0.00
04/03/2025,17:41:13,0.00,nan,nan,nan,0.00
04/03/2025,17:41:14,0.00,nan,nan,nan,0.00
04/03/2025,17:41:15,0.00,nan,nan,nan,0.00
04/03/2025,17:41:16,0.00,nan,nan,nan,0.00
04/03/2025,17:41:17,0.00,nan,nan,nan,0.00
04/03/2025,17:41:18,0.00,nan,nan,nan,0.00
04/03/2025,17:41:19,0.00,nan,nan,nan,0.00
04/03/2025,17:41:20,0.00,nan,nan,nan,0.00
04/03/2025,17:41:21,0.00,nan,nan,nan,0.00
04/03/2025,17:41:22,0.00,nan,nan,nan,0.00
04/03/2025,17:41:23,0.00,nan,nan,nan,0.00
04/03/2025,17:41:24,0.00,nan,nan,nan,0.00
04/03/2025,17:41:25,0.00,nan,nan,nan,0.00
04/03/2025,17:41:26,0.00,nan,nan,nan,0.00
04/03/2025,17:41:27,0.00,nan,nan,nan,0.00
04/03/2025,17:41:28,0.00,nan,nan,nan,0.00
04/03/2025,17:41:29,0.00,nan,nan,nan,0.00
04/03/2025,17:41:30,0.00,nan,nan,nan,0.00
04/03/2025,17:41:31,0.00,nan,nan,nan,0.00
04/03/2025,17:41:31,0.00,nan,nan,nan,0.00
04/03/2025,17:41:32,0.00,nan,nan,nan,0.00
04/03/2025,17:41:33,0.00,nan,nan,nan,0.00
04/03/2025,17:41:34,0.00,nan,nan,nan,0.00
04/03/2025,17:41:35,0.00,nan,nan,nan,0.00
04/03/2025,17:41:36,0.00,nan,nan,nan,0.00
04/03/2025,17:41:37,0.00,nan,nan,nan,0.00
04/03/2025,17:41:38,0.00,nan,nan,nan,0.00
04/03/2025,17:41:39,0.00,nan,nan,nan,0.00
04/03/2025,17:41:40,0.00,nan,nan,nan,0.00
04/03/2025,17:41:41,0.00,nan,nan,nan,0.00
04/03/2025,17:41:42,0.00,nan,nan,nan,0.00
04/03/2025,17:41:43,0.00,nan,nan,nan,0.00
04/03/2025,17:41:44,0.00,nan,nan,nan,0.00
04/03/2025,17:41:45,0.00,nan,nan,nan,0.00
04/03/2025,17:41:46,0.00,nan,nan,nan,0.00
04/03/2025,17:41:47,0.00,nan,nan,nan,0.00
04/03/2025,17:41:48,0.00,nan,nan,nan,0.00
04/03/2025,17:41:49,0.00,nan,nan,nan,0.00
04/03/2025,17:41:50,0.00,nan,nan,nan,0.00
04/03/2025,17:41:51,0.00,nan,nan,nan,0.00
04/03/2025,17:41:52,0.00,nan,nan,nan,0.00
04/03/2025,17:41:53,0.00,nan,nan,nan,0.00
04/03/2025,17:41:54,0.00,nan,nan,nan,0.00
04/03/2025,17:41:55,0.00,nan,nan,nan,0.00
04/03/2025,17:41:56,0.00,nan,nan,nan,0.00
04/03/2025,17:41:57,0.00,nan,nan,nan,0.00
04/03/2025,17:41:58,0.00,nan,nan,nan,0.00
04/03/2025,17:41:59,0.00,nan,nan,nan,0.00
04/03/2025,17:42:00,0.00,nan,nan,nan,0.00
04/03/2025,17:42:01,0.00,nan,nan,nan,0.00
04/03/2025,17:42:02,0.00,nan,nan,nan,0.00
04/03/2025,17:42:03,0.00,nan,nan,nan,0.00
04/03/2025,17:42:04,0.00,nan,nan,nan,0.00
04/03/2025,17:42:05,0.00,nan,nan,nan,0.00
04/03/2025,17:42:06,0.00,nan,nan,nan,0.00
04/03/2025,17:42:07,0.00,nan,nan,nan,0.00
04/03/2025,17:42:08,0.00,nan,nan,nan,0.00
04/03/2025,17:42:09,0.00,nan,nan,nan,0.00
04/03/2025,17:42:10,0.00,nan,nan,nan,0.00
04/03/2025,17:42:11,0.00,nan,nan,nan,0.00
04/03/2025,17:42:12,0.00,nan,nan,nan,0.00
04/03/2025,17:42:13,0.00,nan,nan,nan,0.00
04/03/2025,17:42:14,0.00,nan,nan,nan,0.00
04/03/2025,17:42:15,0.00,nan,nan,nan,0.00
04/03/2025,17:42:16,0.00,nan,nan,nan,0.00
04/03/2025,17:42:17,0.00,nan,nan,nan,0.00
04/03/2025,17:42:18,0.00,nan,nan,nan,0.00
04/03/2025,17:42:19,0.00,nan,nan,nan,0.00
04/03/2025,17:42:20,0.00,nan,nan,nan,0.00
04/03/2025,17:42:21,0.00,nan,nan,nan,0.00
04/03/2025,17:42:22,0.00,nan,nan,nan,0.00
04/03/2025,17:42:23,0.00,nan,nan,nan,0.00
04/03/2025,17:42:24,0.00,nan,nan,nan,0.00
04/03/2025,17:42:25,0.00,nan,nan,nan,0.00
04/03/2025,17:42:26,0.00,nan,nan,nan,0.00
04/03/2025,17:42:27,0.00,nan,nan,nan,0.00
04/03/2025,17:42:28,0.00,nan,nan,nan,0.00
04/03/2025,17:42:29,0.00,nan,nan,nan,0.00
04/03/2025,17:42:30,0.00,nan,nan,nan,0.00
04/03/2025,17:42:31,0.00,nan,nan,nan,0.00
